video_title,total_analyzed_comments,positive_percentage,neutral_percentage,negative_percentage,avg_confidence_score
"Loops : For, While, Do-while | Day 10 | Complete JavaScript Crash Course | Tap Academy",18,72.22,27.78,0.0,0.8826
Intoduction to JavaScript | Complete JavaScript Crash Course | Tap Academy,20,70.0,30.0,0.0,0.879
Compiler VS Interpreter | Day 3 | Complete JavaScript Crash Course | Tap Academy,20,65.0,30.0,5.0,0.8466
"Programming Basics | HLL, MLL, ALL | Complete JavaScript Crash Course | Tap Academy",20,65.0,35.0,0.0,0.865
Data Types in JavaScript Explained | Day 4 | Complete JavaScript Crash Course | Tap Academy,20,60.0,35.0,5.0,0.8346
Data Types in JavaScript Explained pt.2 | Day 5 | Complete JavaScript Crash Course | Tap Academy,20,60.0,30.0,10.0,0.8683
Comparison Operators | Day 7 | Complete JavaScript Crash Course | Tap Academy,20,50.0,40.0,10.0,0.8354
Switch Statements in JavaScript | Day 9 | Complete JavaScript Crash Course | Tap Academy,20,50.0,50.0,0.0,0.8389
If-Else in JavaScript | Day 8 | Complete JavaScript Crash Course | Tap Academy,20,50.0,30.0,20.0,0.8237
Type Conversion in JavaScript | Day 6 | Complete JavaScript Crash Course | Tap Academy,20,35.0,55.0,10.0,0.7611
PC Build for the Fundamendals Team - The Powerful Editing PC,20,30.0,65.0,5.0,0.7571
S26 Ultra Full Assembly You've Never Seen! | Postmortem to Powerhouse,21,28.57,61.9,9.52,0.7368
"How To Become a CA - Studies, Struggles & Career Opportunities",20,25.0,65.0,10.0,0.7486
Tech YouTubers Got Legal Notices | The Truth Behind Ai+ Smartphone,20,20.0,65.0,15.0,0.7163
3 Star vs 5 Star AC ⚡ | Best Choice for Home & Shops,20,15.0,75.0,10.0,0.7548
விலைவாசி ஏறபோகுது 🤯 - Big Problem for Middle-Class,20,15.0,65.0,20.0,0.7169
iPhone Butt Dialling Problem | Users Mistakenly Think It’s a Bad Feature,20,15.0,85.0,0.0,0.7338
The Cockroach Janta Party | Gen Z’s Demand for New Politics,20,10.0,60.0,30.0,0.7287
iPhone Camera Protector is a Scam | Nobody Warned Us About This,20,5.0,75.0,20.0,0.6767
"Two Routers, One Network 🤯 | No More WiFi Dead Zones at Home",20,5.0,80.0,15.0,0.6967
