comment_id,video_id,author_name,comment_text,like_count,sentiment_label,sentiment_score
UgwUrs-ycKk_fljO69p4AaABAg,-EGN4IEYhBg,@dvynetoni1463,"Hi Mr Rohit, I must confess you are very GOOD. I really need your mentorship and would love to see other courses like React.js. Thank you very much for your time",2,Positive,0.9788
UgwNvVO0zcdNlPofcB94AaABAg,-EGN4IEYhBg,@shilpashree206,excellent way of teaching. plz teach us on reactjs.  it will be much appreciated.,1,Positive,0.9755
UgzMcKLKfUHe8EqwoWt4AaABAg,-EGN4IEYhBg,@enyewgashaw4548,thanks it was nice lecture,1,Positive,0.9717
UgwImhXVzc5U43QQXtB4AaABAg,-EGN4IEYhBg,@Lakshmi123-k3d,Sir Ur Explanation is Awesome Easy to Understand and also Can U Provide a Notes to Us it is helping to Us Pls Think Once Thank U Sir,0,Positive,0.9646
UgyqT2sMDOgiad-uRP54AaABAg,-EGN4IEYhBg,@learnEnglish-998,"I love your explaination, I wish i were you.",0,Positive,0.9589
UgwGiONJ7V92afWzjcR4AaABAg,-EGN4IEYhBg,@Royal_finearts,❤️🙏🏼 tq,0,Positive,0.9486
UgxpJV6N75STvndCiA54AaABAg,-EGN4IEYhBg,@mohamedsaleel8407,👍👍👍,0,Positive,0.9148
UgwGj3wWNVVs-V1Tp7x4AaABAg,-EGN4IEYhBg,@sumankumarbera,Thank you sir,0,Positive,0.9126
UgxBssh15CJ6j2uOmd14AaABAg,-EGN4IEYhBg,@pradeepk6297,jonas schmedtmann❤🔥,0,Positive,0.9022
Ugwqiu92cRRQJHOeHTl4AaABAg,-EGN4IEYhBg,@shimpa_shining_star2254,Where to get notes of Javascript,0,Neutral,0.881
Ugzz3W51mR0w-m5ywLR4AaABAg,-EGN4IEYhBg,@dbzdbz-ol1et,What’s you platform??? Please,0,Neutral,0.8681
Ugy18K0xnlLT_6aWo054AaABAg,-EGN4IEYhBg,@kommeashok8158,"Course fee 
Full stack python",0,Neutral,0.8653
UgwkAwEbs1IT6vdMhQ14AaABAg,-EGN4IEYhBg,@vibekiller-n8c,Thanks bro,0,Positive,0.864
UgxpZxFLlsB6mXpHyn94AaABAg,-EGN4IEYhBg,@amityaduvanshi4507,Aur next vedio please,0,Neutral,0.836
UgxBSJM7oSaG5lAYQGJ4AaABAg,-EGN4IEYhBg,@chanikyavenkitila5925,Sir give me a lecture on data science and artificial intelligence,0,Neutral,0.8007
UgwgLiYBtsrXX44s__94AaABAg,-EGN4IEYhBg,@lifeislove2193,Sir please provide notes,0,Neutral,0.7136
UgzjPAIl8qYwGtMfykJ4AaABAg,-EGN4IEYhBg,@armoury..handla.,"sir please dont discontinue this series sir please

you explain like explaining to a kid

Waiting For Day 16 Video From Past 5days",1,Neutral,0.6759
UgyazIKvVvPfT-VJ3Dh4AaABAg,-EGN4IEYhBg,@rachamalluhari515,DOM and Events concepts are missing,1,Neutral,0.6443
Ugxd5AkrlBWbgPoNUgh4AaABAg,-EGN4IEYhBg,@yt_YouTube.1,You didn't teach dom and events,1,Neutral,0.5524
UgwM0Tm4vJg2TI8BK7d4AaABAg,-EGN4IEYhBg,@habiba_women_fashion,I am a hindi medium student 😅 but i know basic   English but I will understand more than hindi teachers because of rohit sir is explain in depth consept like ram prosasior etc. I am searching a java script  full playlist in hindi from 6months but i can't understand now I will watch rohit sir video sir will explain in English but I will understand and I will learn betar then hindi 😅,4,Neutral,0.5491
UgyeNCEPaSxQ-YU09NR4AaABAg,1UGFzfLZtlA,@shruthibudidha5508,Thank you very much sir ! Daily Awaiting for your video sir very great content sir thank you once again sir,0,Positive,0.9879
Ugw10pSMNfyNSkkZLA54AaABAg,1UGFzfLZtlA,@emmanuelessienekpo4605,"Thanks so much TAP ACADEMY . All your tutorials/teachings are very explicit and easy to follow up. It has helped me so much to understand and excel in REACT.js. Since you are this good in Javascript,  i wish that you take up REACT.js tutorial",0,Positive,0.9814
UgxaVKOHM5Pu6tvU9yV4AaABAg,1UGFzfLZtlA,@shishir6270,Your teaching method is excellent.,0,Positive,0.9789
UgxN_cqN6464Y0O4TUV4AaABAg,1UGFzfLZtlA,@lifeislove2193,"Hi sir your videos are very helpful

Please add the video number 4",0,Positive,0.976
UgzDxvOkk6pkS4sRKqh4AaABAg,1UGFzfLZtlA,@aparajitashambhavee,Sir.... your teaching way is unique ...... as I have seen in dsa without paise playlist and it's really commendable ! Please continue this playlist......also kindly regularly upload the videos!,0,Positive,0.9681
UgzLl0mKIxuaEW41ODR4AaABAg,1UGFzfLZtlA,@AustineOgbeTV,Tnks sir for the very nice and easy explanation,0,Positive,0.9536
Ugx36rrGtZdyDe8lSYV4AaABAg,1UGFzfLZtlA,@hamudxd9497,❤❤❤,0,Positive,0.9414
UgwMZVliIl6Xdnfgr_94AaABAg,1UGFzfLZtlA,@sumankumarbera,Thank you sir,0,Positive,0.9126
UgwLU0Pp_d-k5bi4t5N4AaABAg,1UGFzfLZtlA,@Shoryabeautifullife8055,If we put anything in single quote it is a character not string I guess,0,Neutral,0.8832
UgwjxDrv4z5lcG3PQlt4AaABAg,1UGFzfLZtlA,@fromka3829,Please any one explain last 2nd one 26:05,0,Neutral,0.8791
UgyOz6ffWsJzvyvW_GV4AaABAg,1UGFzfLZtlA,@ramanjaneyulunakka4929,Thanks sir,0,Positive,0.8721
Ugy_vKIFfYD_5j8u4Q14AaABAg,1UGFzfLZtlA,@AllenMasinsin,how to set up my vscode to javascript,0,Neutral,0.8416
UgxJNW4gpdBqkSpT5d14AaABAg,1UGFzfLZtlA,@KaviyaGayathri-u2q,Sir can you teach React for Us???,1,Neutral,0.8118
UgxVkSnWKAXUSu3wLWN4AaABAg,1UGFzfLZtlA,@chinnav5727,sir can you please provide notes as well...,0,Neutral,0.7994
UgyAG5_oT8k_WGfApFd4AaABAg,1UGFzfLZtlA,@mohammadzahid2202,Well explained,0,Positive,0.7516
UgxsCVkbKrT-Ip3F1e54AaABAg,1UGFzfLZtlA,@akhilnani2689,"Sir could you help us with NodeJS also, because there is no specific resource to understand NodeJS as we understand your lectures",0,Neutral,0.7105
UgwYwh3yNB3XI3gbgTl4AaABAg,1UGFzfLZtlA,@Jack-bb3mf,imp lecture to revise,0,Neutral,0.6508
UgxHwg8YkOkNfF1zMsd4AaABAg,1UGFzfLZtlA,@SahilBhatia-o3f,You missed string and number in case of strict equality: 010 === 10?,0,Neutral,0.6275
UgzVxgAq99wcAv-Orcp4AaABAg,1UGFzfLZtlA,@Vkpingili,Null is a falsy value and when compared to false should give us true why isn’t it true even though  it’s data type is an object,0,Negative,0.6138
UgyJrHWWFH7YpQZ8dAp4AaABAg,1UGFzfLZtlA,@vishalsingh-y2z2r,sir NaN has type as number so why strict equality does not hold means why NaN===NaN is false.,0,Negative,0.5666
UgwFIpa3fO5g5oliKtR4AaABAg,2jOoxuGrg88,@lifeislove2193,"Hi sir, I am very thankful to you 
Please provide notes sir",0,Positive,0.9838
UgwMzayYJsYM0xa38-94AaABAg,2jOoxuGrg88,@LukukaKalebo,You the best teacher in this world please continue to give out another series fro this whole JavaScript,1,Positive,0.973
UgyGS2VdOYKxUaiMnJB4AaABAg,2jOoxuGrg88,@AvinashKumar-od8fq,"Namaste 
     the way you explain very amazing",0,Positive,0.9695
UgzlygZEfTSdTqMdzVJ4AaABAg,2jOoxuGrg88,@mohammadzahid2202,😊,0,Positive,0.9461
Ugw01ZNWLjA61VEIpih4AaABAg,2jOoxuGrg88,@AjayAjay-co4bt,thank you sir,0,Positive,0.9139
UgzMmJKRpnLWG_t3iqZ4AaABAg,2jOoxuGrg88,@vaishnavis1234,"Hello Sir. I will be graduating in 2025 in BCA. I am a BiPC Student in inter and I took a one year drop for Neet. Now,  While applying for recruitment drives, What shall I answer to ""Any Gaps in Education"". Should I answer 
1.Yes, One year gap 
2. No

Also tell me what to answer for reasons for Gap,Sir.

Please reply as I am very much confused in answering this question.",0,Neutral,0.898
UgzW3bw4OeSy6UX1wLZ4AaABAg,2jOoxuGrg88,@sompalli-reddy-sekhar,Thankyou sir,0,Positive,0.8796
UgxFmx0PK25fZOH5uSF4AaABAg,2jOoxuGrg88,@ramanjaneyulunakka4929,Thanks sir,0,Positive,0.8721
