video_id,channel_id,video_title,published_at,view_count,like_count,comment_count
Gc6zygRlJfc,UCvyZS6W6zMJCZBVzF-Ei6sw,S26 Ultra Full Assembly You've Never Seen! | Postmortem to Powerhouse,2026-05-29 19:16:30,72717,11432,101
aUTIJ9edhdY,UCvyZS6W6zMJCZBVzF-Ei6sw,"How To Become a CA - Studies, Struggles & Career Opportunities",2026-05-28 17:32:01,194926,9663,936
rnN4k2eqgQU,UCvyZS6W6zMJCZBVzF-Ei6sw,iPhone Butt Dialling Problem | Users Mistakenly Think It’s a Bad Feature,2026-05-27 21:38:29,692425,48780,246
yqCsVmu8mnA,UCvyZS6W6zMJCZBVzF-Ei6sw,PC Build for the Fundamendals Team - The Powerful Editing PC,2026-05-24 11:11:51,269333,15051,582
AB7ktiDWpWM,UCvyZS6W6zMJCZBVzF-Ei6sw,iPhone Camera Protector is a Scam | Nobody Warned Us About This,2026-05-23 19:33:25,1180266,74947,315
tZMiCdW0HTQ,UCvyZS6W6zMJCZBVzF-Ei6sw,"Two Routers, One Network 🤯 | No More WiFi Dead Zones at Home",2026-05-22 19:03:33,190846,12690,128
qE16cdlo9ms,UCvyZS6W6zMJCZBVzF-Ei6sw,The Cockroach Janta Party | Gen Z’s Demand for New Politics,2026-05-21 19:28:17,471830,21978,2175
Une-tBXAgW0,UCvyZS6W6zMJCZBVzF-Ei6sw,Tech YouTubers Got Legal Notices | The Truth Behind Ai+ Smartphone,2026-05-20 17:32:55,353424,14600,581
LJDbt_eNgO8,UCvyZS6W6zMJCZBVzF-Ei6sw,3 Star vs 5 Star AC ⚡ | Best Choice for Home & Shops,2026-05-19 20:17:05,765885,51952,293
KwE61vWiFA0,UCvyZS6W6zMJCZBVzF-Ei6sw,விலைவாசி ஏறபோகுது 🤯 - Big Problem for Middle-Class,2026-05-17 18:12:04,556883,21672,1870
jSeI6OfifCI,PLAYLIST_DATA,Intoduction to JavaScript | Complete JavaScript Crash Course | Tap Academy,2024-12-09 19:34:17,118419,1538,63
UhprM4WsZ2I,PLAYLIST_DATA,"Programming Basics | HLL, MLL, ALL | Complete JavaScript Crash Course | Tap Academy",2024-12-10 19:12:58,28672,724,37
uZ_Kd9oKl34,PLAYLIST_DATA,Compiler VS Interpreter | Day 3 | Complete JavaScript Crash Course | Tap Academy,2024-12-11 19:23:09,23550,556,28
6-nso0cXcmw,PLAYLIST_DATA,Data Types in JavaScript Explained | Day 4 | Complete JavaScript Crash Course | Tap Academy,2024-12-12 18:27:05,23743,451,30
nSEyOaagJv0,PLAYLIST_DATA,Data Types in JavaScript Explained pt.2 | Day 5 | Complete JavaScript Crash Course | Tap Academy,2024-12-13 18:36:29,23985,532,36
XLulV-Y7bR4,PLAYLIST_DATA,Type Conversion in JavaScript | Day 6 | Complete JavaScript Crash Course | Tap Academy,2024-12-14 19:18:53,20775,473,35
1UGFzfLZtlA,PLAYLIST_DATA,Comparison Operators | Day 7 | Complete JavaScript Crash Course | Tap Academy,2024-12-16 19:06:44,17091,380,23
2jOoxuGrg88,PLAYLIST_DATA,If-Else in JavaScript | Day 8 | Complete JavaScript Crash Course | Tap Academy,2024-12-18 16:22:08,14659,275,24
-EGN4IEYhBg,PLAYLIST_DATA,Switch Statements in JavaScript | Day 9 | Complete JavaScript Crash Course | Tap Academy,2024-12-19 10:30:00,17402,292,23
uiZEd4NZLws,PLAYLIST_DATA,"Loops : For, While, Do-while | Day 10 | Complete JavaScript Crash Course | Tap Academy",2024-12-21 19:00:35,15071,318,19
